date,category,directional_score
2024-10-18,Neutral,0.5226249694824219
2024-10-18,Neutral,0.21698486804962158
2024-10-18,Neutral,-0.044728368520736694
2024-10-18,Neutral,0.5118421316146851
2024-10-18,Neutral,0.0
2024-10-18,Neutral,0.0483320951461792
2024-10-18,Neutral,0.43164193630218506
2024-10-18,Neutral,0.12680593132972717
2024-10-18,Neutral,0.38569825887680054
2024-10-18,Neutral,0.1
2024-10-18,Neutral,0.09155911207199097
2024-10-18,Bearish,-0.75
2024-10-18,Neutral,0.15
2024-10-18,Neutral,-0.4796905219554901
2024-10-19,Neutral,0.21409472823143005
2024-10-19,Neutral,0.0
2024-10-19,Neutral,-0.2564506530761719
2024-10-19,Neutral,0.28439486026763916
2024-10-19,Neutral,0.0
2024-10-19,Neutral,0.0
2024-10-19,Neutral,-0.07278202474117279
2024-10-19,Neutral,0.3995053768157959
2024-10-19,Neutral,0.05
2024-10-19,Neutral,0.10879456996917725
2024-10-19,Neutral,0.0
2024-10-19,Neutral,0.5159112215042114
2024-10-19,Neutral,0.0
2024-10-19,Neutral,0.0
2024-10-19,Neutral,0.4267648458480835
2024-10-19,Neutral,0.0
2024-10-19,Neutral,0.0
2024-10-19,Neutral,0.05
2024-10-19,Neutral,0.0
2024-10-19,Neutral,0.29295045137405396
2024-10-20,Neutral,0.4243431091308594
2024-10-22,Neutral,0.25541403889656067
2024-10-22,Neutral,0.0
2024-10-22,Neutral,0.33338457345962524
2024-10-22,Neutral,0.22231370210647583
2024-10-22,Neutral,0.3784283399581909
2024-10-22,Neutral,0.5104755759239197
2024-10-22,Bullish,0.7
2024-10-22,Neutral,0.0
2024-10-22,Neutral,0.5567641258239746
2024-10-22,Neutral,0.22081494331359863
2024-10-22,Neutral,0.1
2024-10-23,Neutral,0.3042032718658447
2024-10-23,Bullish,0.6492102146148682
2024-10-23,Neutral,-0.37059128284454346
2024-10-23,Neutral,-0.2069881558418274
2024-10-23,Neutral,-0.4089391231536865
2024-10-23,Bullish,0.65
2024-10-23,Neutral,0.2054368257522583
