date,headline,source,summary
2025-05-24,European Equities Close Sharply Lower in Friday Trading; German Q1 GDP Expands 0.4% Sequentially,Yahoo,"The European stock markets fell sharply in Friday trading as The Stoxx Europe 600 fell 1.03%, German"
2025-05-28,"GLP-1 prescriptions for weight loss are shooting up, despite obstacles",Yahoo,"The percentage of overweight or obese adults prescribed GLP-1s jumped by almost 587% between 2019 and 2024, according to a new Fair Health report."
2025-05-30,Was Jim Cramer Right About Eli Lilly and Company (LLY)?,Yahoo,"We recently published a list of Did Jim Cramer Nail or Miss These 11 Stock Predictions? In this article, we are going to take a look at where Eli Lilly and Company (NYSE:LLY) stands against other stocks that Jim Cramer discusses. In that episode, a caller asked about Eli Lilly and Company (NYSE:LLY), particularly in […]"
2025-05-30,How Ozempic maker Novo Nordisk fell behind Eli Lilly in the weight loss drug race,Yahoo,"Novo Nordisk (NVO) makes Ozempic, the best-known GLP-1 drug out today. And until quite recently, the Danish pharma giant consistently led the pack in new prescriptions, becoming virtually synonymous with a booming weight loss drug market that could hit $139 billion by 2030."
2025-05-31,Hims to cut 4% of workforce amid ban on weight-loss drug copies,Yahoo,"NEW YORK (Reuters) -Telehealth platform Hims & Hers said on Friday it will cut 68 employees, or about 4% of its workforce, as it adjusts to a U.S. ban on manufacturing mass copies of the weight-loss drug Wegovy.  A U.S. Food and Drug Administration ban on compounded copies of Wegovy, made by Novo Nordisk, took effect on May 22.  The company said it is seeking new opportunities for growth, including an agreement with Novo to help patients access Wegovy."
2025-06-04,Thornburg International Growth Fund Q1 2025 Commentary,SeekingAlpha,"With headlines dominated by inflation concerns, recession fears, and tariff tensions, it is no surprise investors are feeling uneasy."
2025-06-07,"Top Research Reports for Oracle, Novo Nordisk & Linde",Yahoo,"ORCL gains on strong cloud momentum, while NVO battles obesity headwinds and LIN leans on $10B backlog for growth."
2025-06-09,Obesity Newcomer Metsera Enters The Ring With A Punch — And A Big Stock Jump,Yahoo,Metsera stock surged Monday after the drugmaker unveiled solid results for a potential monthly shot to stoke weight loss.
2025-06-10,Why Novo Nordisk Stock Eked Out a Win on Monday,Yahoo,"A media report stated that an activist investor is accumulating a stake in the Wegovy maker.  Wegovy and Ozempic maker Novo Nordisk (NYSE: NVO) saw its stock price tick up slightly on Monday, on a media report about the possible entry of an activist investor. Market players cautiously bid the shares a little more than 1% higher on the news.  Citing unnamed people with knowledge of the details, the Financial Times reported Monday that London-based activist hedge fund Parvus Asset Management is accumulating stock in Novo Nordisk."
2025-06-10,Sector Update: Health Care Stocks Mixed,Yahoo,Health care stocks ended mixed Monday with the NYSE Health Care Index adding 0.2% and the Health Car
2025-06-11,"Can Mounjaro, Zepbound Help Lilly Maintain Dominance in Obesity Space?",Yahoo,LLY banks on soaring Mounjaro and Zepbound sales to defend its obesity edge amid intensifying competition.
2025-06-11,American Century Focused International Growth Fund Q1 2025 Commentary,SeekingAlpha,The portfolio continues to invest in companies we believe are strong and improving and have improvement that is sustainable.
2025-06-12,Promising Results Of Amylin Analogs In Obesity: Metsera Case Review,SeekingAlpha,"Metsera is advancing promising obesity treatments with amylin and GLP-1 analogs, eyeing competitive efficacy and buyout potential. Read why MTSR stock is a hold."
